n,N,lp,rp,sp,e
24,656,0.333333333333333,0.166666666666667,0.5,2e-06
24,613,0.333333333333333,0.166666666666667,0.5,4e-06
24,588,0.333333333333333,0.166666666666667,0.5,6e-06
24,570,0.333333333333333,0.166666666666667,0.5,8e-06
24,557,0.333333333333333,0.166666666666667,0.5,1e-05
24,546,0.333333333333333,0.166666666666667,0.5,1.2e-05
24,536,0.333333333333333,0.166666666666667,0.5,1.4e-05
24,528,0.333333333333333,0.166666666666667,0.5,1.6e-05
24,521,0.333333333333333,0.166666666666667,0.5,1.8e-05
24,514,0.333333333333333,0.166666666666667,0.5,2e-05
24,508,0.333333333333333,0.166666666666667,0.5,2.2e-05
24,503,0.333333333333333,0.166666666666667,0.5,2.4e-05
24,498,0.333333333333333,0.166666666666667,0.5,2.6e-05
24,493,0.333333333333333,0.166666666666667,0.5,2.8e-05
24,489,0.333333333333333,0.166666666666667,0.5,3e-05
24,485,0.333333333333333,0.166666666666667,0.5,3.2e-05
24,481,0.333333333333333,0.166666666666667,0.5,3.4e-05
24,478,0.333333333333333,0.166666666666667,0.5,3.6e-05
24,474,0.333333333333333,0.166666666666667,0.5,3.8e-05
24,472,0.333333333333333,0.166666666666667,0.5,4e-05
24,468,0.333333333333333,0.166666666666667,0.5,4.2e-05
24,466,0.333333333333333,0.166666666666667,0.5,4.4e-05
24,463,0.333333333333333,0.166666666666667,0.5,4.6e-05
24,460,0.333333333333333,0.166666666666667,0.5,4.8e-05
24,457,0.333333333333333,0.166666666666667,0.5,5e-05
24,455,0.333333333333333,0.166666666666667,0.5,5.2e-05
24,453,0.333333333333333,0.166666666666667,0.5,5.4e-05
24,451,0.333333333333333,0.166666666666667,0.5,5.6e-05
24,449,0.333333333333333,0.166666666666667,0.5,5.8e-05
24,446,0.333333333333333,0.166666666666667,0.5,6e-05
24,444,0.333333333333333,0.166666666666667,0.5,6.2e-05
24,443,0.333333333333333,0.166666666666667,0.5,6.4e-05
24,441,0.333333333333333,0.166666666666667,0.5,6.6e-05
24,439,0.333333333333333,0.166666666666667,0.5,6.8e-05
24,437,0.333333333333333,0.166666666666667,0.5,7e-05
24,435,0.333333333333333,0.166666666666667,0.5,7.2e-05
24,433,0.333333333333333,0.166666666666667,0.5,7.4e-05
24,432,0.333333333333333,0.166666666666667,0.5,7.6e-05
24,430,0.333333333333333,0.166666666666667,0.5,7.8e-05
24,429,0.333333333333333,0.166666666666667,0.5,8e-05
24,427,0.333333333333333,0.166666666666667,0.5,8.2e-05
24,426,0.333333333333333,0.166666666666667,0.5,8.4e-05
24,424,0.333333333333333,0.166666666666667,0.5,8.6e-05
24,423,0.333333333333333,0.166666666666667,0.5,8.8e-05
24,421,0.333333333333333,0.166666666666667,0.5,9e-05
24,420,0.333333333333333,0.166666666666667,0.5,9.2e-05
24,419,0.333333333333333,0.166666666666667,0.5,9.4e-05
24,418,0.333333333333333,0.166666666666667,0.5,9.6e-05
24,416,0.333333333333333,0.166666666666667,0.5,9.8e-05
24,415,0.333333333333333,0.166666666666667,0.5,0.0001
