661,1.8163e+05,0.25,0.25,0.5,5e-05
671,1.8648e+05,0.25,0.25,0.5,5e-05
681,1.9139e+05,0.25,0.25,0.5,5e-05
691,1.9635e+05,0.25,0.25,0.5,5e-05
701,2.0135e+05,0.25,0.25,0.5,5e-05
711,2.0642e+05,0.25,0.25,0.5,5e-05
721,2.1153e+05,0.25,0.25,0.5,5e-05
731,2.1669e+05,0.25,0.25,0.5,5e-05
741,2.219e+05,0.25,0.25,0.5,5e-05
751,2.2717e+05,0.25,0.25,0.5,5e-05
761,2.3248e+05,0.25,0.25,0.5,5e-05
771,2.3784e+05,0.25,0.25,0.5,5e-05
781,2.4326e+05,0.25,0.25,0.5,5e-05
791,2.4872e+05,0.25,0.25,0.5,5e-05
801,2.5423e+05,0.25,0.25,0.5,5e-05
811,2.5979e+05,0.25,0.25,0.5,5e-05
821,2.654e+05,0.25,0.25,0.5,5e-05
831,2.7106e+05,0.25,0.25,0.5,5e-05
841,2.7676e+05,0.25,0.25,0.5,5e-05
851,2.8252e+05,0.25,0.25,0.5,5e-05
861,2.8832e+05,0.25,0.25,0.5,5e-05
871,2.9417e+05,0.25,0.25,0.5,5e-05
881,3.0006e+05,0.25,0.25,0.5,5e-05
891,3.0601e+05,0.25,0.25,0.5,5e-05
901,3.12e+05,0.25,0.25,0.5,5e-05
911,3.1803e+05,0.25,0.25,0.5,5e-05
921,3.2411e+05,0.25,0.25,0.5,5e-05
931,3.3024e+05,0.25,0.25,0.5,5e-05
941,3.3642e+05,0.25,0.25,0.5,5e-05
951,3.4264e+05,0.25,0.25,0.5,5e-05
961,3.489e+05,0.25,0.25,0.5,5e-05
971,3.5521e+05,0.25,0.25,0.5,5e-05
981,3.6157e+05,0.25,0.25,0.5,5e-05
991,3.6797e+05,0.25,0.25,0.5,5e-05
1001,3.7441e+05,0.25,0.25,0.5,5e-05
