n,N,lp,rp,sp,e
24,620,0.25,0.25,0.5,2e-06
24,579,0.25,0.25,0.5,4e-06
24,556,0.25,0.25,0.5,6e-06
24,539,0.25,0.25,0.5,8e-06
24,526,0.25,0.25,0.5,1e-05
24,515,0.25,0.25,0.5,1.2e-05
24,506,0.25,0.25,0.5,1.4e-05
24,499,0.25,0.25,0.5,1.6e-05
24,492,0.25,0.25,0.5,1.8e-05
24,486,0.25,0.25,0.5,2e-05
24,480,0.25,0.25,0.5,2.2e-05
24,475,0.25,0.25,0.5,2.4e-05
24,470,0.25,0.25,0.5,2.6e-05
24,466,0.25,0.25,0.5,2.8e-05
24,462,0.25,0.25,0.5,3e-05
24,458,0.25,0.25,0.5,3.2e-05
24,455,0.25,0.25,0.5,3.4e-05
24,451,0.25,0.25,0.5,3.6e-05
24,448,0.25,0.25,0.5,3.8e-05
24,445,0.25,0.25,0.5,4e-05
24,442,0.25,0.25,0.5,4.2e-05
24,440,0.25,0.25,0.5,4.4e-05
24,437,0.25,0.25,0.5,4.6e-05
24,435,0.25,0.25,0.5,4.8e-05
24,432,0.25,0.25,0.5,5e-05
24,430,0.25,0.25,0.5,5.2e-05
24,428,0.25,0.25,0.5,5.4e-05
24,426,0.25,0.25,0.5,5.6e-05
24,424,0.25,0.25,0.5,5.8e-05
24,422,0.25,0.25,0.5,6e-05
24,420,0.25,0.25,0.5,6.2e-05
24,418,0.25,0.25,0.5,6.4e-05
24,416,0.25,0.25,0.5,6.6e-05
24,414,0.25,0.25,0.5,6.8e-05
24,413,0.25,0.25,0.5,7e-05
24,411,0.25,0.25,0.5,7.2e-05
24,409,0.25,0.25,0.5,7.4e-05
24,408,0.25,0.25,0.5,7.6e-05
24,406,0.25,0.25,0.5,7.8e-05
24,405,0.25,0.25,0.5,8e-05
24,403,0.25,0.25,0.5,8.2e-05
24,402,0.25,0.25,0.5,8.4e-05
24,401,0.25,0.25,0.5,8.6e-05
24,399,0.25,0.25,0.5,8.8e-05
24,398,0.25,0.25,0.5,9e-05
24,397,0.25,0.25,0.5,9.2e-05
24,395,0.25,0.25,0.5,9.4e-05
24,394,0.25,0.25,0.5,9.6e-05
24,393,0.25,0.25,0.5,9.8e-05
24,392,0.25,0.25,0.5,0.0001
