n,N,lp,rp,sp,e
1,0,0.333333333333333,0.333333333333333,0.333333333333333,0.0001
2,8,0.333333333333333,0.333333333333333,0.333333333333333,0.0001
3,1,0.333333333333333,0.333333333333333,0.333333333333333,0.0001
4,9,0.333333333333333,0.333333333333333,0.333333333333333,0.0001
5,14,0.333333333333333,0.333333333333333,0.333333333333333,0.0001
6,21,0.333333333333333,0.333333333333333,0.333333333333333,0.0001
7,28,0.333333333333333,0.333333333333333,0.333333333333333,0.0001
8,37,0.333333333333333,0.333333333333333,0.333333333333333,0.0001
9,46,0.333333333333333,0.333333333333333,0.333333333333333,0.0001
10,56,0.333333333333333,0.333333333333333,0.333333333333333,0.0001
11,68,0.333333333333333,0.333333333333333,0.333333333333333,0.0001
12,80,0.333333333333333,0.333333333333333,0.333333333333333,0.0001
13,93,0.333333333333333,0.333333333333333,0.333333333333333,0.0001
14,107,0.333333333333333,0.333333333333333,0.333333333333333,0.0001
15,122,0.333333333333333,0.333333333333333,0.333333333333333,0.0001
16,137,0.333333333333333,0.333333333333333,0.333333333333333,0.0001
17,154,0.333333333333333,0.333333333333333,0.333333333333333,0.0001
18,171,0.333333333333333,0.333333333333333,0.333333333333333,0.0001
19,190,0.333333333333333,0.333333333333333,0.333333333333333,0.0001
20,209,0.333333333333333,0.333333333333333,0.333333333333333,0.0001
