n,N,lp,rp,sp,e
1,0,0.25,0.25,0.5,5e-05
11,100,0.25,0.25,0.5,5e-05
21,337,0.25,0.25,0.5,5e-05
31,697,0.25,0.25,0.5,5e-05
41,1172,0.25,0.25,0.5,5e-05
51,1756,0.25,0.25,0.5,5e-05
61,2445,0.25,0.25,0.5,5e-05
71,3235,0.25,0.25,0.5,5e-05
81,4122,0.25,0.25,0.5,5e-05
91,5106,0.25,0.25,0.5,5e-05
101,6182,0.25,0.25,0.5,5e-05
111,7349,0.25,0.25,0.5,5e-05
121,8605,0.25,0.25,0.5,5e-05
131,9948,0.25,0.25,0.5,5e-05
141,11376,0.25,0.25,0.5,5e-05
151,12889,0.25,0.25,0.5,5e-05
161,14484,0.25,0.25,0.5,5e-05
171,16161,0.25,0.25,0.5,5e-05
181,17918,0.25,0.25,0.5,5e-05
191,19754,0.25,0.25,0.5,5e-05
201,21668,0.25,0.25,0.5,5e-05
211,23658,0.25,0.25,0.5,5e-05
221,25725,0.25,0.25,0.5,5e-05
231,27866,0.25,0.25,0.5,5e-05
241,30082,0.25,0.25,0.5,5e-05
251,32371,0.25,0.25,0.5,5e-05
261,34732,0.25,0.25,0.5,5e-05
271,37165,0.25,0.25,0.5,5e-05
281,39668,0.25,0.25,0.5,5e-05
291,42242,0.25,0.25,0.5,5e-05
301,44885,0.25,0.25,0.5,5e-05
311,47596,0.25,0.25,0.5,5e-05
321,50376,0.25,0.25,0.5,5e-05
331,53223,0.25,0.25,0.5,5e-05
341,56137,0.25,0.25,0.5,5e-05
351,59117,0.25,0.25,0.5,5e-05
361,62162,0.25,0.25,0.5,5e-05
371,65273,0.25,0.25,0.5,5e-05
381,68448,0.25,0.25,0.5,5e-05
391,71687,0.25,0.25,0.5,5e-05
401,74989,0.25,0.25,0.5,5e-05
411,78354,0.25,0.25,0.5,5e-05
421,81782,0.25,0.25,0.5,5e-05
431,85271,0.25,0.25,0.5,5e-05
441,88822,0.25,0.25,0.5,5e-05
451,92434,0.25,0.25,0.5,5e-05
461,96106,0.25,0.25,0.5,5e-05
471,99838,0.25,0.25,0.5,5e-05
481,103630,0.25,0.25,0.5,5e-05
491,107480,0.25,0.25,0.5,5e-05
501,111390,0.25,0.25,0.5,5e-05
511,115360,0.25,0.25,0.5,5e-05
521,119390,0.25,0.25,0.5,5e-05
531,123470,0.25,0.25,0.5,5e-05
541,127610,0.25,0.25,0.5,5e-05
551,131810,0.25,0.25,0.5,5e-05
561,136060,0.25,0.25,0.5,5e-05
571,140370,0.25,0.25,0.5,5e-05
581,144740,0.25,0.25,0.5,5e-05
591,149160,0.25,0.25,0.5,5e-05
601,153640,0.25,0.25,0.5,5e-05
611,158170,0.25,0.25,0.5,5e-05
621,162750,0.25,0.25,0.5,5e-05
631,167390,0.25,0.25,0.5,5e-05
641,172090,0.25,0.25,0.5,5e-05
651,176830,0.25,0.25,0.5,5e-05
