n,p,e,avg_steps,e^2 * avg_steps
4,0.5,0.1,1845.093,18.45093
4,0.5,0.09,2425.962,19.6502922
4,0.5,0.08,2908.035,18.611424
4,0.5,0.07,3993.81,19.569669
4,0.5,0.06,5119.66,18.430776
4,0.5,0.05,7543.809,18.8595225
4,0.5,0.04,11337.567,18.1401072
4,0.5,0.03,21829.741,19.6467669
4,0.5,0.02,45140.62,18.056248
4,0.5,0.01,172250.852,17.2250852
