n,p,e,avg_steps,e^2 * avg_steps
4.0,0.3,0.1,3889.985,38.89985000000001
4.0,0.3,0.09000000000000001,4441.739,35.9780859
4.0,0.3,0.08000000000000002,5929.979,37.95186560000002
4.0,0.3,0.07000000000000002,7900.867,38.71424830000002
4.0,0.3,0.06000000000000002,10297.668,37.07160480000002
4.0,0.3,0.05000000000000002,14292.92,35.73230000000002
4.0,0.3,0.040000000000000015,21965.08,35.14412800000003
4.0,0.3,0.030000000000000013,40702.623,36.63236070000003
4.0,0.3,0.02000000000000001,92032.515,36.813006000000044
4.0,0.3,0.01000000000000001,327828.333,32.782833300000064
