n,p,e,avg_steps,e^2 * avg_steps
4,0.5,0.1,1735.32,17.3532
4,0.5,0.09,2349.801,19.0333881
4,0.5,0.08,3027.001,19.3728064
4,0.5,0.07,3731.818,18.2859082
4,0.5,0.06,4941.687,17.7900732
4,0.5,0.05,7511.855,18.7796375
4,0.5,0.04,10964.809,17.5436944
4,0.5,0.03,19780.716,17.8026444
4,0.5,0.02,45421.193,18.1684772
4,0.5,0.01,187069.856,18.7069856
